Tanggal,"Temperatur Minimum	 (°C)",Temperatur Maksimum (°C),Temperatur Rata-rata (°C),Kelembapan Rata-rata (%),Curah Hujan (mm),Lamanya Penyinaran Matahari (jam),Kecepatan Angin Maksimum (m/s),Arah Angin Saat Kecepatan Maksimum (°),Kecepatan Angin Rata-rata (m/s),Arah Angin Terbanyak (°)
04-01-2013,22,28.6,24.4,78,4.5,6.2,3,270,2,NW
05-01-2013,20,28.4,23.3,75,3.1,4.9,3,270,2,W 
06-01-2013,20,27,22.9,82,8.8,0.2,4,270,2,W 
07-01-2013,21,28.8,22.7,85,1.6,3,6,270,2,W 
08-01-2013,20,28.8,23.2,82,20.8,4.6,5,315,2,W 
09-01-2013,20,27.8,22.4,83,11.3,0,4,315,2,W 
10-01-2013,20,28.8,23.6,77,3,5.4,5,270,3,W 
11-01-2013,21,27,23.6,77,0,3.7,5,270,2,W 
12-01-2013,21,28,23.9,72,2,4.1,4,315,3,W 
13-01-2013,21,27,23.1,84,0.5,1.8,4,270,2,W 
14-01-2013,21,27.4,23.4,81,4,2.5,4,270,2,W 
15-01-2013,21,26.3,22.3,86,5.1,1.4,4,315,2,W 
16-01-2013,20,26,21,84,27.3,2.2,3,270,2,W 
17-01-2013,21,23,21.6,92,2.1,0,4,270,2,W 
18-01-2013,21,25,22.5,83,32.3,0,4,270,3,W 
19-01-2013,21,28.8,23.7,80,7.5,5.2,4,270,3,W 
20-01-2013,21,29.6,24.6,74,15.5,5.7,4,270,2,W 
21-01-2013,21,28.7,24.3,76,0,6.2,4,270,2,W 
22-01-2013,21,28.8,21.7,81,0,4.4,4,270,2,W 
23-01-2013,21,28.6,23.4,79,12.3,4.8,4,270,2,W 
24-01-2013,22,28,24.1,74,1,1,4,225,3,SW
25-01-2013,21,27.4,22.9,83,0,1.3,3,135,1,S 
26-01-2013,21,30.2,23.8,78,5.3,5.4,3,90,1,E 
27-01-2013,21,29.6,24.4,75,10.1,5.6,4,45,2,N 
28-01-2013,22,30,24.5,73,0.5,6.6,5,45,3,N 
29-01-2013,21,29.7,24.4,72,2.3,6.6,5,360,2,N 
30-01-2013,21,30,23.7,76,1.1,6.6,4,90,2,N 
31-01-2013,21,29.6,23.6,82,18.8,6.4,4,45,2,N 
01-02-2013,20,29.6,23.8,78,1.2,4.9,4,45,1,NE
02-02-2013,21,27.5,23.9,81,0.2,1.8,4,360,2,NE
03-02-2013,21,29,23.2,80,0,4.8,3,360,2,NE
04-02-2013,20,28.4,23.3,86,5.6,3,3,90,0,NE
05-02-2013,19,29.4,23,85,36.7,5.4,3,45,1,NE
06-02-2013,20,28.2,22.9,87,28.7,2.2,3,270,2,NW
07-02-2013,19,28.8,22.5,84,13.3,5.4,4,360,2,NE
08-02-2013,19,29.4,23.6,78,1.5,6.4,3,360,2,N 
09-02-2013,20,29.4,23.7,78,8888,5,2,160,1,W 
10-02-2013,21,29.6,23.2,84,22.2,4.2,4,360,0,N 
11-02-2013,20,29,23.1,85,55.8,4.4,3,160,2,N 
12-02-2013,19,29,22,87,4.5,4,2,315,1,NW
13-02-2013,19,28.1,22.7,86,17.3,2.5,2,225,1,NW
14-02-2013,19,28.6,20.2,85,12,4.1,2,135,1,SW
15-02-2013,19,30.2,23.4,80,20.5,7.4,4,135,2,SE
16-02-2013,19,28.8,24.1,80,8.8,3.8,3,135,2,NE
17-02-2013,22,27,23.6,79,0.2,2.2,3,360,2,NE
18-02-2013,21,27.8,23.7,78,0,2.4,4,45,2,NE
19-02-2013,20,27.8,22.3,84,6.2,1.6,4,360,2,N 
20-02-2013,21,27.3,23.3,78,7,1.4,4,315,2,NW
21-02-2013,21,27.6,23.1,77,0.3,1.4,5,360,3,NW
22-02-2013,21,27.8,23.6,79,0,5.6,5,360,3,NW
23-02-2013,21,27.4,23.7,78,5.6,4.1,5,160,3,
24-02-2013,20,27.4,24,77,8888,3.3,5,90,2,SE
25-02-2013,22,29.8,24.7,71,0.1,8,4,90,2,NW
26-02-2013,21,28.9,24.5,69,0,4.8,4,315,3,NW
27-02-2013,23,28.2,24.8,76,1.9,4.2,4,270,2,W 
28-02-2013,22,30.2,25.6,67,0,6.9,5,45,2,NE
01-03-2013,21,29.8,23.9,72,0,5.8,5,360,2,N 
02-03-2013,21,30.3,24.6,75,2.9,8,5,360,2,N 
03-03-2013,21,31,24.6,77,0,7.3,5,45,3,SE
04-03-2013,22,27.6,23.9,83,3.4,1.8,5,45,2,NE
05-03-2013,20,27,22.8,77,19.1,1,4,360,2,N 
06-03-2013,19,29.7,23.5,76,0,6.8,4,45,2,N 
07-03-2013,19,30.6,24.3,72,0,7.3,4,360,2,N 
08-03-2013,20,30.3,24.5,74,2.5,6.4,4,90,2,E 
09-03-2013,21,30,24.6,72,0,4.2,4,360,2,E 
10-03-2013,21,30.2,24.5,75,5,5.4,4,360,3,N 
11-03-2013,21,31.2,24.2,76,0,4.5,4,360,2,N 
12-03-2013,22,28.4,23.9,82,5,1.8,3,315,2,NW
13-03-2013,21,30.7,24.6,77,2.8,5.8,5,135,2,SE
14-03-2013,21,30.7,24.9,79,1.3,4.5,5,90,2,E 
15-03-2013,20,29.4,23.7,80,2.2,0.3,3,45,2,E 
16-03-2013,20,30.4,23.1,80,2,5.2,3,225,2,NE
17-03-2013,20,30.5,23.6,80,59.8,6,3,45,2,NE
18-03-2013,20,30.3,23.5,77,3.4,7.6,4,90,2,E 
19-03-2013,20,27.8,23.4,84,1.5,2,3,180,2,SW
20-03-2013,18,27.2,22.7,87,17.5,2.2,2,90,1,E 
21-03-2013,20,29.3,23.4,80,13.2,4.6,3,90,2,NW
22-03-2013,20,28.4,23.3,83,8888,3.4,3,90,2,E 
23-03-2013,21,29.3,23.1,80,13.3,3.4,2,270,2,NW
24-03-2013,19,29.2,23.4,76,53,5.2,2,180,1,S 
25-03-2013,21,28.2,23.4,86,3.1,2.2,3,360,1,SE
26-03-2013,21,28.5,23.4,85,11.8,3.7,3,45,1,NW
27-03-2013,21,29.5,23.3,88,37.9,1.6,2,90,1,E 
28-03-2013,19,30.8,23.5,79,30.1,7.6,3,315,1,NW
29-03-2013,21,30.6,24.7,78,0,6.1,5,315,3,NW
30-03-2013,21,30.6,24.3,80,10.4,6,4,225,2,SW
31-03-2013,21,31.4,23.8,82,3.6,6.9,5,135,1,W 
01-04-2013,21,29.6,23.7,93,19.1,3,3,90,2,E 
02-04-2013,21,28.6,24.2,86,26,3.4,2,180,1,E 
03-04-2013,22,28.8,24.9,83,3.4,2.2,3,90,1,E 
04-04-2013,21,28.4,23.6,87,6.1,3,2,225,1,NW
05-04-2013,21,30.6,23,83,0.8,5.4,3,90,1,E 
06-04-2013,21,26.8,23.5,88,12.8,0,3,180,2,NE
07-04-2013,21,27.2,22.6,87,46.2,0.8,2,90,0,N 
08-04-2013,21,28.4,24.1,78,7.5,1.4,3,360,2,N 
09-04-2013,21,30.2,24.6,78,5.8,5.2,3,360,2,NW
10-04-2013,22,29.6,24.5,80,2,5,3,135,2,NW
11-04-2013,22,30.2,24.6,80,8888,5.2,4,45,2,SE
12-04-2013,22,29.2,24.2,80,5,5.6,3,45,2,NE
13-04-2013,21,29,24.4,83,13.7,3.8,4,360,3,N 
14-04-2013,21,30.4,24.1,81,0,5.4,4,315,2,NW
15-04-2013,23,29.8,24.4,84,2.3,4.6,3,270,1,NE
16-04-2013,21,29.5,23.9,81,30.6,4.2,4,270,2,W 
17-04-2013,21,29.8,23.6,82,1.2,,2,270,1,W 
18-04-2013,22,25.4,22.5,89,22.7,0.4,2,315,1,NW
19-04-2013,20,28.6,22.3,86,24,4.2,4,270,2,W 
20-04-2013,19,29.6,23.5,80,4.7,6.2,3,315,1,NW
21-04-2013,20,29.4,23.4,84,0,3.6,2,315,1,SE
22-04-2013,21,27.5,23.2,87,32.8,2.6,3,270,1,W 
23-04-2013,19,29.4,23.1,82,7.4,5,3,225,2,SW
24-04-2013,21,28.6,23.9,83,3.5,4.4,3,315,2,NE
25-04-2013,20,28.8,23.3,81,3.4,4.5,5,45,1,NE
26-04-2013,20,30.3,24.2,76,4.8,7.3,2,90,2,NE
27-04-2013,20,29,23.2,78,0,3.8,3,270,1,W 
28-04-2013,20,28.4,24.1,79,0,4.1,4,90,2,NE
29-04-2013,19,30,23.6,78,8888,6.6,4,7,2,E 
30-04-2013,19,31.4,24.7,72,8888,7.8,3,45,2,NE
01-05-2013,20,29.2,23.2,80,0,5.2,4,45,2,NE
02-05-2013,20,29,23.2,75,1.2,4.9,3,45,1,NW
03-05-2013,19,29.8,23.6,73,0,6.6,3,90,2,NE
04-05-2013,19,30,23.5,76,0.6,4.5,3,45,2,NE
05-05-2013,20,29.4,23.8,77,0,5.7,3,45,1,SW
06-05-2013,20,30.8,24.5,76,0,6.2,4,360,2,NE
07-05-2013,21,29.6,22.8,85,0,4.6,3,225,1,E 
08-05-2013,21,29,24,80,1.8,3.8,3,90,2,SE
09-05-2013,21,28.2,24.1,82,7,4.6,2,45,1,NE
10-05-2013,22,29.8,24.5,82,24.8,2.2,2,90,1,W 
11-05-2013,21,27.9,23.8,87,13.3,1.2,2,45,1,NE
12-05-2013,21,27.6,23.2,86,4.7,0.2,2,90,0,E 
13-05-2013,21,26,22.9,86,1,4.4,4,270,2,SW
14-05-2013,20,29.4,23.2,80,0,4.4,4,90,2,
15-05-2013,20,28.4,24.2,74,0.1,2.5,4,90,2,E 
16-05-2013,20,30.5,24.6,76,8888,7,4,180,2,S 
17-05-2013,22,29.4,24.3,82,0.6,5,5,45,2,NE
18-05-2013,21,30.1,24.1,82,7.7,6,3,90,2,SE
19-05-2013,20,28.8,23.5,82,3.7,4.5,3,90,2,NE
20-05-2013,19,28.8,22.5,85,29.3,4.1,4,315,1,S 
21-05-2013,19,28.6,24.1,82,0.3,3,2,45,1,NE
22-05-2013,20,28.2,23.4,84,10.5,5.8,3,90,2,E 
23-05-2013,21,30.4,23.6,82,11.3,5,4,180,2,S 
24-05-2013,20,29.2,23.7,78,14.9,6.2,2,360,1,N 
25-05-2013,20,27,23.8,87,3.9,0.9,2,45,1,NW
26-05-2013,20,27.1,22.8,89,8888,3.4,2,360,1,NW
27-05-2013,21,25,22.8,90,18.8,0,2,315,1,NW
28-05-2013,21,27,22.5,90,0,1.8,2,315,2,NW
29-05-2013,20,29.2,21.2,89,1.9,7.6,3,315,2,NW
30-05-2013,20,28.4,23.8,80,0,7.2,4,315,2,NW
31-05-2013,21,28.2,23.6,82,13.5,1.7,3,45,2,NE
01-06-2013,21,28.5,23.9,80,0,5.8,4,315,2,NW
02-06-2013,21,28.8,24,74,0,6.9,4,270,2,SE
03-06-2013,21,26.4,23.4,76,8888,0.8,4,90,2,E 
04-06-2013,22,29,24.7,74,0,6.4,3,90,2,SE
05-06-2013,22,29,24.4,77,0,2.9,3,45,1,E 
06-06-2013,19,24.6,23.1,79,8888,0,2,90,1,NE
07-06-2013,20,27.2,22.5,80,8888,2.1,2,90,2,NE
08-06-2013,19,28,22.7,88,2,2.6,2,90,1,E 
09-06-2013,19,29,24,78,68.4,3.4,2,270,0,W 
10-06-2013,20,29.4,23.3,81,0,5.8,2,90,1,E 
11-06-2013,20,27.4,23.4,84,10.4,0.2,5,45,2,E 
12-06-2013,20,26.4,22.2,90,62.8,1.4,2,270,2,
13-06-2013,20,24.8,21.6,90,37.6,1,2,90,1,E 
14-06-2013,20,27.8,23.4,82,13.2,0.4,2,90,1,E 
15-06-2013,22,29.5,24.3,81,8888,6.2,3,45,1,W 
16-06-2013,21,29.6,24.6,81,3.6,7.4,3,90,1,N 
17-06-2013,21,28.2,24.3,80,6.8,5.4,4,360,2,N 
18-06-2013,21,28.8,24.3,72,0,7.8,3,360,2,NE
19-06-2013,21,28.8,23.7,76,0,5.8,3,360,2,N 
20-06-2013,20,29.4,24,76,0,7.4,4,315,2,NE
21-06-2013,21,28.1,23.9,75,0,3,3,45,1,N 
22-06-2013,21,29.2,24.4,72,0,8,4,315,3,NW
23-06-2013,20,29.8,24.2,73,0,6.9,3,315,2,NW
24-06-2013,20,29.8,24.1,73,5.5,7.8,3,360,1,NW
25-06-2013,20,30.5,24.1,68,0,8,3,315,1,NW
26-06-2013,20,30.6,24.2,70,0,7.7,3,135,1,SW
27-06-2013,20,29.6,23.7,73,0,8,4,135,2,SW
28-06-2013,20,28.3,23.5,78,2,4.1,2,135,1,S 
29-06-2013,20,28.8,22.7,78,17.6,5,2,225,2,SW
30-06-2013,19,28.3,22.4,82,1.6,6.9,3,45,2,W 
01-07-2013,20,29,23.5,76,1,6,2,270,1,SE
02-07-2013,20,27.8,22.4,82,0,2.5,2,90,1,E 
03-07-2013,20,27.8,22.8,84,5.6,3.2,3,135,1,W 
04-07-2013,19,25,21.3,86,27,1.8,2,270,1,W 
05-07-2013,18,28,22.2,81,12.7,2,3,180,1,S 
06-07-2013,18,28.5,22.6,72,0,5,2,180,1,S 
07-07-2013,18,28.3,22.4,70,0,8,3,270,2,W 
08-07-2013,16,29.4,18.8,70,0,5.2,3,270,2,W 
09-07-2013,18,29,22.4,78,0,5.6,3,315,2,W 
10-07-2013,19,27,22.8,79,0,0.2,3,270,2,W 
11-07-2013,21,29.2,23.4,79,0,4.9,4,270,1,SW
12-07-2013,19,27,22.1,82,1.5,3.7,3,90,2,
13-07-2013,19,26.5,21.9,90,22.3,1.7,2,90,1,E 
14-07-2013,20,26.4,22.8,77,60.2,1.8,2,45,1,SE
15-07-2013,20,28.2,22.4,83,0,4.8,3,90,2,W 
16-07-2013,19,29.4,23.1,76,7.3,7.6,5,225,2,W 
17-07-2013,19,28.8,22.8,74,0,5.8,3,225,2,SW
18-07-2013,19,27.3,22.6,67,0,2.5,4,225,1,E 
19-07-2013,18,29,22.4,68,0,6.4,2,315,0,W 
20-07-2013,18,26.6,22,78,0,3.4,3,270,2,W 
21-07-2013,19,28.7,22.7,77,0,7.3,2,270,0,W 
22-07-2013,20,23.4,21.2,92,6.9,0,2,180,1,W 
23-07-2013,18,28.8,22.9,80,7.3,4.4,3,225,2,NW
24-07-2013,19,28.8,23.7,78,1.3,7.8,4,225,2,SE
25-07-2013,19,29,23.4,74,8888,5.8,4,90,2,SE
26-07-2013,20,29,23.6,76,8888,4.9,4,90,2,NE
27-07-2013,20,28.8,23.7,73,8888,6.6,3,135,2,E 
28-07-2013,20,29,23.8,78,1.5,5.4,3,315,2,NW
29-07-2013,19,29,22.8,75,4.5,5,3,360,1,N 
30-07-2013,19,27,22.4,74,0,7.4,3,135,2,S 
31-07-2013,18,29,22.6,66,0,7.7,3,135,1,NE
01-08-2013,18,28.6,23.1,70,0,7,4,180,2,
02-08-2013,20,28.5,23.2,77,30.8,4.6,3,180,1,SW
03-08-2013,19,28,22.5,78,6,5.3,3,180,0,SE
04-08-2013,18,28.4,22.8,77,8888,6.2,3,360,2,N 
05-08-2013,20,27,22.8,76,0,2.1,2,180,0,W 
06-08-2013,20,29.2,24,77,0,5.8,3,360,2,N 
07-08-2013,20,29.2,23.7,78,6.4,6.6,3,360,2,N 
08-08-2013,20,29,23.2,77,6.7,5.7,3,360,1,N 
09-08-2013,19,28.6,23.2,74,0,5.8,3,180,2,SE
10-08-2013,20,28.3,23.4,72,0,4.1,3,90,1,E 
11-08-2013,20,29.2,24.2,73,8888,5.8,3,360,2,S 
12-08-2013,16,29.8,23,65,0,7.8,3,360,1,SW
13-08-2013,16,29,21,63,0,8,3,225,2,SW
14-08-2013,16,28.8,22,70,0,6.6,3,225,2,SW
15-08-2013,20,30.4,23.6,71,0,6.9,5,90,2,SE
16-08-2013,20,30.8,23.9,72,0,7.4,4,225,2,SW
17-08-2013,20,30,23.9,74,0.4,6.2,3,135,2,SW
18-08-2013,18,30.4,23.7,68,0,6.6,2,45,1,SW
19-08-2013,18,28.9,22.7,63,0,6.2,4,180,2,SW
20-08-2013,18,29.2,23.4,68,0,7.8,3,270,1,SE
21-08-2013,19,29.2,23.2,69,0,6.2,3,180,2,S 
22-08-2013,17,30.8,23.1,62,0,8,3,225,2,SW
23-08-2013,17,31,23,63,0,8,3,225,2,SW
24-08-2013,17,30.7,23.5,58,0,8,4,135,2,S 
25-08-2013,17,29.9,22.8,63,0,8,3,225,2,SW
26-08-2013,17,30.4,22.6,,0,8,4,270,2,W 
27-08-2013,17,30.8,23.1,64,0,7.3,3,270,2,S 
28-08-2013,17,30,23.5,67,0,5.6,3,180,2,SE
29-08-2013,19,29,23.6,70,0,4.2,3,135,1,S 
30-08-2013,21,29.2,24.1,80,1,4.5,3,225,2,SW
31-08-2013,20,28.4,23.6,77,23,4.8,4,90,2,W 
01-09-2013,20,29.8,24.4,72,0,6.5,2,270,1,W 
02-09-2013,20,29.4,23.9,70,0,6.2,2,888,1,S 
03-09-2013,19,28.4,23.1,72,0,8,3,225,2,SW
04-09-2013,20,29.2,23.9,65,0,6.4,3,225,2,SW
05-09-2013,18,29.7,23,70,0,5.4,4,180,1,SW
06-09-2013,18,29.5,23.5,68,1,5.6,2,45,1,SW
07-09-2013,19,30.4,23.3,68,0,7.7,3,45,2,NE
08-09-2013,19,30.2,23.4,72,0,6.4,3,45,2,NE
09-09-2013,20,30.6,24.9,68,0,7.8,4,45,2,W 
10-09-2013,18,30.2,23.4,56,0,8,3,45,2,NE
11-09-2013,18,30,23.2,68,0,7,3,45,2,S 
12-09-2013,19,30.8,23.6,66,0,5.4,3,180,2,S 
13-09-2013,,,,,0,3.8,26,80,7,E 
14-09-2013,19,30.4,23.4,70,34.4,5.7,4,45,2,SW
15-09-2013,20,30.4,24.7,68,8888,6.2,4,225,2,S 
16-09-2013,,,,,0,,1,240,0,N 
17-09-2013,,,,,,,3,245,2,SW
18-09-2013,20,29.6,23.4,79,62,5.7,3,135,2,NE
19-09-2013,,,,,11,4.8,2,210,2,SW
20-09-2013,20,29.1,23.6,80,55.3,5,3,180,2,W 
21-09-2013,20,29.8,23.7,76,7,6.1,2,135,1,NW
22-09-2013,18,30.2,23.7,66,1,6.2,3,45,1,NW
23-09-2013,18,30,23.9,63,0,6.5,3,270,2,W 
24-09-2013,19,31.1,24.3,63,0,6.6,4,45,2,NE
25-09-2013,20,32.1,25,61,0,7,4,360,2,N 
26-09-2013,19,30.2,24.5,71,0,5.8,2,315,2,N 
27-09-2013,19,30.8,24.2,66,0,7.8,3,180,2,N 
28-09-2013,20,30.1,24.1,70,8888,6.5,4,135,2,E 
29-09-2013,20,30,23.7,70,0,5.4,4,45,1,NE
30-09-2013,20,28.3,23.2,79,8888,2.6,2,135,1,SE
01-10-2013,,,,,,,,,,
02-10-2013,,,,,,,,,,
03-10-2013,,,,,,,,,,
04-10-2013,,,,,,,,,,
05-10-2013,,,,,,,,,,
06-10-2013,,,,,,,,,,
07-10-2013,,,,,,,,,,
08-10-2013,,,,,,,,,,
09-10-2013,18,30.2,26.1,56,10,,3,30,2,W 
10-10-2013,,,,,,,,,,
11-10-2013,,,,,,,,,,
12-10-2013,,,,,,,,,,
13-10-2013,22,28.3,,,5,,3,313,1,N 
14-10-2013,20,30.2,22.2,87,7.6,,3,270,1,N 
15-10-2013,,,,,,,,,,
16-10-2013,,,,,,,,,,
17-10-2013,20,31.7,27.6,61,0,,5,70,2,E 
18-10-2013,,,,,,,,,,
19-10-2013,,,,,,,,,,
20-10-2013,,,,,,,,,,
21-10-2013,,,,,,,,,,
22-10-2013,21,28.3,,,11.7,,3,348,2,N 
23-10-2013,,,,,,,,,,
24-10-2013,,,,,,,,,,
25-10-2013,,,,,,,,,,
26-10-2013,,,,,,,,,,
27-10-2013,,30,26.2,69,1.5,,3,340,1,N 
28-10-2013,,,,,,,,,,
29-10-2013,,,,,,,,,,
30-10-2013,,,,,,,,,,
31-10-2013,,,,,,,,,,
01-11-2013,,,,,,,,,,
02-11-2013,,,,,,,,,,
03-11-2013,,,,,,,,,,
04-11-2013,,,,,,,,,,
05-11-2013,20,31.8,,,0.5,,4,330,1,N 
06-11-2013,,,,,,,,,,
07-11-2013,,,,,,,,,,
08-11-2013,,,,,,,,,,
09-11-2013,20,31.8,,,2.9,,4,350,2,N 
10-11-2013,,,,,,,,,,
11-11-2013,,,,,,,,,,
12-11-2013,20,29.4,,,22.3,,2,99,1,E 
13-11-2013,21,26.1,22.3,89,14.8,,2,350,0,N 
14-11-2013,20,,,,19.7,,2,260,0,N 
15-11-2013,,,,,,,,,,
16-11-2013,,,,,,,,,,
17-11-2013,,,,,1.1,,4,360,3,N 
18-11-2013,,,,,,,,,,
19-11-2013,,,,,,,,,,
20-11-2013,,29.5,,,,8.4,6,127,3,SE
21-11-2013,19,30,26.3,57,0,,4,320,1,N 
22-11-2013,18,,,,,,4,260,2,W 
23-11-2013,,,,,,,,,,
24-11-2013,21,30.2,,,0,,5,230,2,N 
25-11-2013,,,,,,,,,,
26-11-2013,,26.6,21.7,87,0,,4,200,0,N 
27-11-2013,,,,,,,,,,
28-11-2013,21,31.2,,,0,6.2,4,158,2,SW
29-11-2013,22,30.4,26.3,68,2.8,6.2,4,30,1,N 
30-11-2013,20,30.6,,,8888,6.8,3,140,2,NW
01-12-2013,,,,,,,,,,
02-12-2013,,,,,,,,,,
03-12-2013,21,30,25.3,78,3.8,1.4,3,130,1,N 
04-12-2013,,,,,,,,,,
05-12-2013,,,,,,,,,,
06-12-2013,,,,,,,,,,
07-12-2013,20,29.6,23.9,85,64.8,3.1,3,120,1,N 
08-12-2013,20,27.2,23,89,21.7,5,3,99,0,N 
09-12-2013,,,,,10.3,0.1,3,70,1,N 
10-12-2013,19,29.4,,,27.1,2.6,4,341,2,N 
11-12-2013,,,,,,,,,,
12-12-2013,20,,23.1,87,2.6,,3,360,0,N 
13-12-2013,,,,,4.2,,6,295,1,N 
14-12-2013,20,28.7,,,9,5.8,3,235,1,N 
15-12-2013,21,29.6,25.2,77,24.1,0.4,3,180,1,N 
16-12-2013,20,,26,74,50.9,2.6,3,180,0,N 
17-12-2013,20,,27.4,62,5.9,3.1,3,213,0,N 
18-12-2013,,28.7,,,,1.3,3,89,2,SE
19-12-2013,19,29.6,25,77,36.6,4,5,330,1,N 
20-12-2013,20,26,23.5,75,41.9,4.1,3,300,1,N 
21-12-2013,20,,23.5,81,1,0,4,263,1,N 
22-12-2013,20,25,21.8,89,10.5,2.2,4,257,1,N 
23-12-2013,21,28,23.5,78,1,0,5,30,2,N 
24-12-2013,20,,25.7,67,8888,2.8,3,200,1,N 
25-12-2013,20,,,,1,5.3,0,0,0,N 
26-12-2013,,,,,,,,,,
27-12-2013,20,30.3,26.5,65,,7.8,4,160,1,N 
28-12-2013,20,29,,,0,9.7,3,210,1,N 
29-12-2013,18,,,,0,4.9,3,356,1,N 
30-12-2013,,26,23.5,81,8888,5.8,3,25,2,NE
31-12-2013,20,24.3,23.1,81,9.2,0,3,250,1,N 
01-01-2014,,,,,,,,,,
02-01-2014,20,,24.3,77,,0,3,158,1,N 
03-01-2014,21,,26.6,68,8888,5,5,60,1,N 
04-01-2014,21,28,24.7,73,8888,5.9,4,160,1,SE
05-01-2014,21,28.8,25.5,65,1,1.6,4,60,2,N 
06-01-2014,,,24.7,70,,5.1,5,20,1,N 
07-01-2014,21,30.8,26.2,72,1,3,4,123,1,N 
08-01-2014,21,27.2,21.8,91,10.3,6,2,10,0,N 
09-01-2014,20,,25.2,72,54.8,1.2,3,130,1,N 
10-01-2014,,,,,,,,,,
11-01-2014,19,,22.5,92,19.4,6.5,2,53,0,N 
12-01-2014,20,25.6,21.5,92,23.3,3,3,50,1,N 
13-01-2014,20,,22.4,86,31,0,3,30,1,N 
14-01-2014,,,25.2,72,2,0,3,339,1,N 
15-01-2014,,26.8,,,15.5,5.2,4,71,2,SW
16-01-2014,,26.8,23.2,80,1.7,,4,170,1,S 
17-01-2014,20,24.1,21.9,90,,0.3,4,210,1,N 
18-01-2014,20,,21.9,88,32.2,0,4,25,2,NW
19-01-2014,20,24.6,22.1,86,12.7,0.6,4,22,3,SE
20-01-2014,,25,22.4,86,0.2,,4,160,2,N 
21-01-2014,20,,20.5,93,10.4,0.1,5,184,2,N 
22-01-2014,,,23.4,78,17.4,0,4,200,2,E 
23-01-2014,20,24.2,21,88,4,,4,87,2,E 
24-01-2014,19,25.5,22.7,80,6.6,0,4,130,2,W 
25-01-2014,20,,24.6,71,8888,4.2,5,60,2,N 
26-01-2014,,,26.2,64,0,7.7,4,5,1,N 
27-01-2014,,30.2,26.1,,,9.2,5,297,2,N 
28-01-2014,21,24.8,23,82,,9,3,260,1,N 
29-01-2014,21,,21.9,89,9,0.9,3,240,1,N 
30-01-2014,,,24,78,1.2,1.1,4,224,2,SW
31-01-2014,20,26.6,23.8,79,0.2,6.6,4,221,2,SW
01-02-2014,,,,,,,,,,
02-02-2014,21,26,23.6,80,8888,9.6,5,350,2,N 
03-02-2014,21,,23.3,83,5.3,3,3,116,1,N 
04-02-2014,,,23.7,82,13.7,1,4,278,1,N 
05-02-2014,21,28.8,25.6,73,1.5,1.4,5,50,1,S 
06-02-2014,21,29.8,26.1,73,8888,6.4,4,60,1,N 
07-02-2014,20,,22.3,87,12.8,7.5,4,76,2,E 
08-02-2014,,28,24.7,78,,,4,69,1,N 
09-02-2014,21,27.4,24,76,8.7,1.2,4,130,1,N 
10-02-2014,21,28.8,25.4,71,2.9,3.4,5,100,1,N 
11-02-2014,,,,,,,,,,
12-02-2014,,29.4,25.8,72,,,3,93,1,E 
13-02-2014,20,30.2,27.3,64,,3.3,4,90,1,E 
14-02-2014,20,30,25.8,74,,9.9,4,90,1,N 
15-02-2014,20,28.4,25.4,68,0,4,4,106,1,E 
16-02-2014,20,,,,,3,3,102,1,N 
17-02-2014,,29,24.8,75,15.5,5.2,3,110,1,N 
18-02-2014,20,29.1,26.5,66,0,2.4,4,100,1,N 
19-02-2014,,,26,68,,6.2,3,116,1,N 
20-02-2014,,30.4,26.9,67,2.8,6.4,3,108,1,E 
21-02-2014,21,28.2,24.9,70,,9.5,4,100,1,E 
22-02-2014,21,24.8,,,,3,3,120,1,E 
23-02-2014,20,,23.9,71,,1.2,3,97,1,E 
24-02-2014,20,,22.7,76,2.2,,5,116,1,N 
25-02-2014,,,,,,,,,,
26-02-2014,20,23.3,21.7,89,5.7,0,3,100,0,N 
27-02-2014,19,,21.3,93,1.1,0,2,90,0,N 
28-02-2014,,,25.3,77,9.3,1.9,3,89,0,N 
01-03-2014,,29.4,24.5,81,1,5.1,4,110,0,N 
02-03-2014,20,,23.8,84,1.9,4.8,2,100,1,N 
03-03-2014,25,,23.6,85,25.2,3.5,3,113,0,N 
04-03-2014,,29.7,26.1,70,8.6,4.3,3,83,1,N 
05-03-2014,20,29.4,24.1,78,1,7.5,4,100,0,N 
06-03-2014,19,,26,71,3.2,5.3,4,90,1,N 
07-03-2014,,,24.9,78,27.5,8.2,21,222,2,N 
08-03-2014,20,29,,,,4.4,3,119,1,N 
09-03-2014,21,29.3,26.1,74,8888,4.8,4,90,1,N 
10-03-2014,21,29.3,24.3,77,8888,3.2,3,100,1,N 
11-03-2014,,30,26.4,71,,0,3,103,1,N 
12-03-2014,,28,23.7,85,0.3,6.9,3,95,0,N 
13-03-2014,19,30.2,25.5,75,19.1,1.7,5,310,1,N 
14-03-2014,20,,25.8,75,58.4,6.6,3,150,0,N 
15-03-2014,,,24.7,76,,4.3,3,181,0,N 
16-03-2014,,,24.6,84,0.3,4.7,3,120,1,N 
17-03-2014,21,28.4,22.9,91,8.6,4.2,2,110,0,N 
18-03-2014,20,,24.2,80,15.8,3,3,110,0,N 
19-03-2014,,,,,,,,,,
20-03-2014,19,30.8,26.3,66,9.5,4.4,4,352,1,N 
21-03-2014,19,28.8,24.9,74,,,4,140,1,SE
22-03-2014,20,27.5,24.4,76,8888,6.6,4,140,1,N 
23-03-2014,,,,,,,,,,
